"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/30/2021","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/31/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/01/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/02/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/03/2021","33","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/04/2021","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/05/2021","105","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/06/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/07/2021","54","PM2.5","Near Road","11-001-0051","AQS"
"06/08/2021","51","PM2.5","Near Road","11-001-0051","AQS"
"06/09/2021","59","PM2.5","Near Road","11-001-0051","AQS"
"06/10/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/11/2021","28","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/12/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/13/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/14/2021","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/15/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/16/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/17/2021","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/18/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/19/2021","60","PM2.5","Near Road","11-001-0051","AQS"
"06/20/2021","58","PM2.5","Near Road","11-001-0051","AQS"
"06/21/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/22/2021","29","PM2.5","Near Road","11-001-0051","AQS"
"06/23/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/24/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/25/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/26/2021","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/27/2021","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/28/2021","43","PM2.5","Near Road","11-001-0051","AQS"
"06/29/2021","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"06/30/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/01/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/02/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/03/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/04/2021","153","PM2.5","Near Road","11-001-0051","AQS"
"07/05/2021","119","PM2.5","Near Road","11-001-0051","AQS"
"07/06/2021","67","PM2.5","Near Road","11-001-0051","AQS"
"07/07/2021","73","PM2.5","Near Road","11-001-0051","AQS"
"07/08/2021","57","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/10/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/11/2021","52","PM2.5","Near Road","11-001-0051","AQS"
"07/12/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/13/2021","49","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/14/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/15/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
