,time,pblh(m)
548,2012-07-02,2544.7278
549,2012-07-03,2765.9058
550,2012-07-04,2477.2363
551,2012-07-05,2492.3037
552,2012-07-06,2543.377
553,2012-07-07,3169.1387
554,2012-07-08,2603.3345
555,2012-07-09,1101.7971
556,2012-07-10,1886.4932
557,2012-07-11,1754.8359
558,2012-07-12,1762.1617
559,2012-07-13,1800.1418
560,2012-07-14,1120.3455
561,2012-07-15,1724.1816
562,2012-07-16,1831.6273
563,2012-07-17,2454.2717
564,2012-07-18,2093.643
565,2012-07-19,1760.2913
566,2012-07-20,861.7069
567,2012-07-21,602.5488
568,2012-07-22,837.5992
569,2012-07-23,1076.0266
570,2012-07-24,1645.8315
571,2012-07-25,1882.5446
572,2012-07-26,2174.0195
573,2012-07-27,1410.937
574,2012-07-28,2053.4287
575,2012-07-29,1681.006
576,2012-07-30,1474.4277
577,2012-07-31,1700.5935
578,2012-08-01,1913.7183
579,2012-08-02,1875.4265
580,2012-08-03,1864.7235
581,2012-08-04,2033.8933
582,2012-08-05,2089.3306
583,2012-08-06,1601.0452
584,2012-08-07,1232.9867
585,2012-08-08,1660.7949
586,2012-08-09,2357.1135
587,2012-08-10,1514.0703
588,2012-08-11,1655.8591
589,2012-08-12,1904.7299
590,2012-08-13,2201.816
591,2012-08-14,2148.301
592,2012-08-15,1172.5615
593,2012-08-16,2222.8064
594,2012-08-17,2251.798
595,2012-08-18,2212.2593
596,2012-08-19,1185.1869
597,2012-08-20,1203.2677
598,2012-08-21,1897.6118
599,2012-08-22,1741.4312
600,2012-08-23,2079.9265
601,2012-08-24,1945.5156
602,2012-08-25,1619.3857
603,2012-08-26,575.6355
604,2012-08-27,1411.5085
605,2012-08-28,2240.3157
606,2012-08-29,1988.899
607,2012-08-30,1899.2225
608,2012-08-31,2180.2021
609,2012-09-01,1736.9629
610,2012-09-02,398.1527
611,2012-09-03,1041.1641
612,2012-09-04,1391.7651
613,2012-09-05,1217.8154
614,2012-09-06,761.4312
615,2012-09-07,1597.72
616,2012-09-08,1793.1277
617,2012-09-09,2161.6538
618,2012-09-10,2130.532
619,2012-09-11,1546.4391
620,2012-09-12,1393.3759
621,2012-09-13,1280.4229
622,2012-09-14,1669.4197
623,2012-09-15,1817.5991
624,2012-09-16,1470.0114
625,2012-09-17,897.8685
626,2012-09-18,1419.9775
627,2012-09-19,1758.7327
628,2012-09-20,1548.8811
629,2012-09-21,1177.3416
630,2012-09-22,1830.4324
631,2012-09-23,2195.3215
632,2012-09-24,2131.0515
633,2012-09-25,1448.3976
634,2012-09-26,1931.7991
635,2012-09-27,1444.6047
636,2012-09-28,1060.5437
637,2012-09-29,1739.7686
638,2012-09-30,1949.2045
639,2012-10-01,1074.9875
640,2012-10-02,315.28235
641,2012-10-03,1328.0668
642,2012-10-04,1194.8508
643,2012-10-05,1964.4276
644,2012-10-06,1173.5487
645,2012-10-07,621.98047
646,2012-10-08,855.8878
647,2012-10-09,845.02893
648,2012-10-10,1889.0391
649,2012-10-11,1331.34
650,2012-10-12,1806.4805
651,2012-10-13,1207.736
652,2012-10-14,1019.4463
653,2012-10-15,848.8737
654,2012-10-16,1507.0563
655,2012-10-17,1226.3363
656,2012-10-18,1497.0287
657,2012-10-19,1309.1547
658,2012-10-20,1849.6042
659,2012-10-21,2047.0901
660,2012-10-22,1145.3364
661,2012-10-23,789.3318
662,2012-10-24,1756.0829
663,2012-10-25,688.6405
664,2012-10-26,902.1809
665,2012-10-27,1042.7747
666,2012-10-28,977.6734
667,2012-10-29,1556.051
668,2012-10-30,1505.4456
669,2012-10-31,1377.633
670,2012-11-01,1038.722
671,2012-11-02,2056.806
672,2012-11-03,1577.0934
673,2012-11-04,1384.0757
674,2012-11-05,1317.2079
675,2012-11-06,1170.7949
676,2012-11-07,852.7185
677,2012-11-08,1182.693
678,2012-11-09,938.914
679,2012-11-10,550.5925
680,2012-11-11,555.7882
681,2012-11-12,1130.6328
682,2012-11-13,1039.5533
683,2012-11-14,1158.5333
684,2012-11-15,988.1686
685,2012-11-16,1043.0864
686,2012-11-17,889.2438
687,2012-11-18,970.34753
688,2012-11-19,809.5947
689,2012-11-20,891.84155
690,2012-11-21,977.98517
691,2012-11-22,746.6237
692,2012-11-23,546.22815
693,2012-11-24,1889.5066
694,2012-11-25,1496.2494
695,2012-11-26,1125.593
696,2012-11-27,635.0735
697,2012-11-28,1828.8737
698,2012-11-29,1067.6099
699,2012-11-30,457.27905
700,2012-12-01,430.31372
701,2012-12-02,523.7311
702,2012-12-03,816.71277
703,2012-12-04,869.916
704,2012-12-05,1430.6285
705,2012-12-06,1087.9247
706,2012-12-07,541.1365
707,2012-12-08,291.38245
708,2012-12-09,503.7799
709,2012-12-10,846.2759
710,2012-12-11,1307.1284
711,2012-12-12,1228.4666
712,2012-12-13,1077.1178
713,2012-12-14,411.66138
714,2012-12-15,680.2235
715,2012-12-16,488.50476
716,2012-12-17,331.80444
717,2012-12-18,1614.502
718,2012-12-19,1574.8073
719,2012-12-20,762.52234
720,2012-12-21,1935.0204
721,2012-12-22,1862.4894
722,2012-12-23,1065.6874
723,2012-12-24,639.1261
724,2012-12-25,928.0551
725,2012-12-26,767.9258
726,2012-12-27,1430.8363
727,2012-12-28,1296.7891
728,2012-12-29,927.5875
729,2012-12-30,1677.5769
