Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
04/01/2012,41,1256.1073,7,41,27,0,2.3,13
04/02/2012,90,1651.4429,7,90,31,0,0,37
04/03/2012,50,1214.1266,15,50,40,0,4.6,46
04/04/2012,58,1652.43,14,58,25,0,0,42
04/05/2012,39,2034.9844,7,37,23,0,2.3,39
04/06/2012,45,2288.0115,8,45,24,0,0,40
04/07/2012,50,2098.4229,8,50,29,0,1.2,37
04/08/2012,71,3016.0752,9,71,27,0,2.1,35
04/09/2012,46,2869.143,7,46,29,0,4.3,16
04/10/2012,51,3378.7822,8,51,26,0,2.8,41
04/11/2012,31,2775.6733,7,31,30,0,1.4,15
04/12/2012,35,2642.5615,7,35,30,0,3.4,19
04/13/2012,67,2144.56,9,46,42,0,0,67
04/14/2012,54,2202.6992,14,54,58,0,0,38
04/15/2012,77,2141.2869,8,77,62,0,0,42
04/16/2012,62,2334.3047,8,47,26,0,3.7,47
04/17/2012,41,1445.2283,9,41,38,0,0,31
04/18/2012,38,704.69495,10,25,55,0,5.8,33
04/19/2012,55,1419.406,10,51,45,0,0,46
04/20/2012,80,1423.2507,10,80,35,0,0,57
04/21/2012,80,2360.4907,8,80,16,0,0,32
04/22/2012,77,753.68976,8,77,19,0,0,25
04/23/2012,37,1340.1726,8,37,26,0,3.2,15
04/24/2012,50,3208.21,9,50,43,0,1.3,29
04/25/2012,71,3418.0613,14,71,48,0,0,44
04/26/2012,49,824.4542,14,49,27,0,0,42
04/27/2012,84,2008.1229,9,84,28,0,0,13
04/28/2012,44,1033.6304,10,44,33,0,3.5,30
04/29/2012,54,1663.081,10,54,41,0,4.2,39
04/30/2012,45,1061.6868,14,45,40,0,0,39
05/01/2012,45,2108.087,11,45,58,0,0,36
05/02/2012,58,1080.3911,14,33,55,0,0,34
05/03/2012,55,1086.9895,9,34,51,0,2.1,22
05/04/2012,51,1076.7021,10,36,53,0,0,38
05/05/2012,58,1654.872,14,58,23,0,0,31
05/06/2012,42,981.41425,8,42,23,0,0,10
05/07/2012,44,1328.6383,8,44,32,0,0,16
05/08/2012,43,1117.5918,8,43,51,0,0,25
05/09/2012,71,962.8139,8,71,29,0,1.8,29
05/10/2012,71,2367.2969,8,71,28,0,0,36
05/11/2012,49,2993.3706,10,49,55,0,0,32
05/12/2012,87,1954.0364,10,87,54,0,0,35
05/13/2012,64,1912.7311,9,64,31,0,0,30
05/14/2012,40,786.73395,9,40,23,0,0,25
