"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/18/2020","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/19/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/20/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/21/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/22/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/23/2020","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/24/2020","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/26/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/27/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/28/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/29/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/30/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/31/2020","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/01/2020","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/02/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/04/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/05/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/06/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/07/2020","5","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/08/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/09/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/10/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/12/2020","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/13/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/14/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/15/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/16/2020","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/19/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/20/2020","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/21/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/22/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/24/2020","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/25/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/26/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/28/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/29/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/01/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/02/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/03/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/04/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/05/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/06/2020","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/07/2020","5","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/08/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/09/2020","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/10/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/11/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/12/2020","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/13/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/14/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/15/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/16/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/17/2020","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/18/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/19/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/20/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/21/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/22/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/23/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/24/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/25/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/26/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/27/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/29/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/30/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/31/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/01/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/02/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/03/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/04/2020","5","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/05/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/06/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/07/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/08/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2020","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/10/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/11/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/12/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/13/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/14/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/15/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/16/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/17/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/18/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/19/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/20/2020","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/21/2020","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/22/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/23/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/24/2020","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/25/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/26/2020","5","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/27/2020","5","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/28/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/29/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/30/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/01/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/02/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/03/2020","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/04/2020","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/05/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/06/2020","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/07/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/08/2020","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/12/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/13/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2020","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/15/2020","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/16/2020","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/17/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/18/2020","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/19/2020","24","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/20/2020","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/21/2020","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/24/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/25/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/26/2020","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/27/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/28/2020","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/29/2020","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/30/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/31/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/16/2020","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/17/2020","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/18/2020","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/19/2020","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
