SITE_ID,DATE,AQI_TRUE
BEL116,06/19/2012,129
BEL116,06/20/2012,136
BEL116,06/21/2012,164
BEL116,06/22/2012,90
BEL116,06/23/2012,71
BEL116,06/24/2012,93
BEL116,06/25/2012,80
BEL116,06/26/2012,38
BEL116,06/27/2012,53
BEL116,06/28/2012,126
BEL116,06/29/2012,197
BEL116,06/30/2012,87
BEL116,07/01/2012,105
BEL116,07/02/2012,54
BEL116,07/03/2012,136
BEL116,07/04/2012,133
BEL116,07/05/2012,161
BEL116,07/06/2012,147
BEL116,07/07/2012,140
BEL116,07/08/2012,151
BEL116,07/09/2012,61
BEL116,07/10/2012,71
BEL116,07/11/2012,58
BEL116,07/12/2012,58
BEL116,07/13/2012,84
BEL116,07/14/2012,56
BEL116,07/15/2012,44
BEL116,07/16/2012,97
BEL116,07/17/2012,161
BEL116,07/18/2012,119
BEL116,07/19/2012,154
BEL116,07/20/2012,52
BEL116,07/21/2012,43
BEL116,07/22/2012,40
BEL116,07/23/2012,71
BEL116,07/24/2012,65
BEL116,07/25/2012,87
BEL116,07/26/2012,119
BEL116,07/27/2012,80
BEL116,07/28/2012,93
BEL116,07/29/2012,58
BEL116,07/30/2012,54
BEL116,07/31/2012,45
BEL116,08/01/2012,93
BEL116,08/02/2012,71
BEL116,08/03/2012,80
BEL116,08/04/2012,63
BEL116,08/05/2012,50
BEL116,08/06/2012,74
BEL116,08/07/2012,77
BEL116,08/08/2012,97
BEL116,08/09/2012,115
BEL116,08/10/2012,44
BEL116,08/11/2012,54
BEL116,08/12/2012,47
BEL116,08/13/2012,84
BEL116,08/14/2012,77
BEL116,08/15/2012,71
BEL116,08/16/2012,87
BEL116,08/17/2012,90
BEL116,08/18/2012,52
BEL116,08/19/2012,52
BEL116,08/20/2012,49
BEL116,08/21/2012,80
BEL116,08/22/2012,93
BEL116,08/23/2012,119
BEL116,08/24/2012,105
BEL116,08/25/2012,52
BEL116,08/26/2012,28
BEL116,08/27/2012,58
BEL116,08/28/2012,50
BEL116,08/29/2012,50
BEL116,08/30/2012,93
BEL116,08/31/2012,112
BEL116,09/01/2012,58
BEL116,09/02/2012,63
BEL116,09/03/2012,47
BEL116,09/04/2012,51
BEL116,09/05/2012,47
BEL116,09/06/2012,39
BEL116,09/07/2012,77
BEL116,09/08/2012,44
BEL116,09/09/2012,36
BEL116,09/10/2012,35
BEL116,09/11/2012,44
BEL116,09/12/2012,74
BEL116,09/13/2012,49
BEL116,09/14/2012,49
BEL116,09/15/2012,32
BEL116,09/16/2012,44
BEL116,09/17/2012,39
BEL116,09/18/2012,27
BEL116,09/19/2012,33
BEL116,09/20/2012,44
BEL116,09/21/2012,50
BEL116,09/22/2012,53
BEL116,09/23/2012,33
BEL116,09/24/2012,35
BEL116,09/25/2012,49
BEL116,09/26/2012,57
BEL116,09/27/2012,54
BEL116,09/28/2012,48
BEL116,09/29/2012,31
BEL116,09/30/2012,44
BEL116,10/01/2012,37
BEL116,10/02/2012,53
BEL116,10/03/2012,53
BEL116,10/04/2012,56
BEL116,10/05/2012,57
BEL116,10/06/2012,44
BEL116,10/07/2012,28
BEL116,10/08/2012,27
BEL116,10/09/2012,39
BEL116,10/10/2012,40
BEL116,10/11/2012,29
BEL116,10/12/2012,31
BEL116,10/13/2012,31
BEL116,10/14/2012,44
BEL116,10/15/2012,30
BEL116,10/16/2012,25
BEL116,10/17/2012,41
BEL116,10/18/2012,39
BEL116,10/19/2012,34
BEL116,10/20/2012,29
BEL116,10/21/2012,33
BEL116,10/22/2012,38
BEL116,10/23/2012,55
BEL116,10/24/2012,63
BEL116,10/25/2012,77
BEL116,10/26/2012,54
BEL116,10/27/2012,39
BEL116,10/28/2012,32
BEL116,10/29/2012,19
BEL116,10/30/2012,19
BEL116,10/31/2012,23
BEL116,11/01/2012,22
BEL116,11/02/2012,29
BEL116,11/03/2012,25
BEL116,11/04/2012,33
BEL116,11/05/2012,33
BEL116,11/06/2012,31
BEL116,11/07/2012,40
BEL116,11/08/2012,37
BEL116,11/09/2012,49
BEL116,11/10/2012,63
BEL116,11/11/2012,69
BEL116,11/12/2012,51
BEL116,11/13/2012,30
BEL116,11/14/2012,36
BEL116,11/15/2012,43
BEL116,11/16/2012,54
BEL116,11/17/2012,37
BEL116,11/18/2012,55
BEL116,11/19/2012,42
BEL116,11/20/2012,56
BEL116,11/21/2012,65
BEL116,11/22/2012,60
BEL116,11/23/2012,54
BEL116,11/24/2012,28
BEL116,11/25/2012,35
BEL116,11/26/2012,68
BEL116,11/27/2012,30
BEL116,11/28/2012,30
BEL116,11/29/2012,56
BEL116,11/30/2012,69
BEL116,12/01/2012,97
BEL116,12/02/2012,84
BEL116,12/03/2012,58
BEL116,12/04/2012,61
BEL116,12/05/2012,31
BEL116,12/06/2012,25
BEL116,12/07/2012,35
BEL116,12/08/2012,70
BEL116,12/09/2012,63
BEL116,12/10/2012,55
BEL116,12/11/2012,33
BEL116,12/12/2012,47
BEL116,12/13/2012,50
BEL116,12/14/2012,62
BEL116,12/15/2012,61
BEL116,12/16/2012,61
BEL116,12/17/2012,67
BEL116,12/18/2012,33
BEL116,12/19/2012,39
BEL116,12/20/2012,33
BEL116,12/21/2012,26
